Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
810,Carlos Vela,mx MEX,FW,Los Angeles FC,33,1989,23.0,1134,7,61,453,633,80,1129,51,20,39.2,25,49.0,696,3547,1384,38,34,11,54,27,797,179,Matches
811,Alan Velasco,ar ARG,"FW,MF",FC Dallas,20,2002,25.1,1267,11,142,577,573,58,1267,132,70,53.0,47,35.6,848,5905,2908,98,69,24,78,42,893,140,Matches
812,Brayan Vera,co COL,DF,Real Salt Lake,24,1999,22.7,1411,167,752,569,107,13,1411,21,13,61.9,5,23.8,786,4024,2291,21,22,1,20,6,885,8,Matches
813,Ranko Veselinović,rs SRB,DF,Vancouver,23,1999,31.4,2016,330,1197,752,76,45,2016,8,7,87.5,0,0.0,1208,6428,3243,6,8,0,12,3,1475,7,Matches
814,Jules-Anthony Vilsaint,ca CAN,FW,CF Montréal,20,2003,4.6,119,2,6,47,66,25,119,7,2,28.6,5,71.4,82,510,266,11,5,5,10,9,89,28,Matches
815,Pedro Vite,ec ECU,"MF,FW",Vancouver,20,2002,23.9,1391,20,184,794,430,52,1391,51,16,31.4,30,58.8,818,3514,1494,35,35,4,38,17,1007,124,Matches
816,Gino Vivi,cr CRC,"MF,DF",LA Galaxy,22,2000,0.9,46,0,10,23,14,1,46,4,3,75.0,1,25.0,28,189,101,4,2,1,0,1,34,6,Matches
817,Robert Voloder,ba BIH,DF,Sporting KC,21,2001,11.4,797,68,365,357,80,6,797,19,11,57.9,6,31.6,475,2475,1361,18,10,2,5,4,513,11,Matches
818,Giacomo Vrioni,al ALB,FW,New England,24,1998,14.6,350,19,32,179,143,53,350,17,9,52.9,6,35.3,168,1028,533,16,11,9,39,16,241,51,Matches
819,Kai Wagner,de GER,DF,Philadelphia,25,1997,27.1,1908,82,564,817,544,14,1908,20,9,45.0,8,40.0,857,4006,1936,43,48,2,13,4,971,96,Matches
820,Rémi Walter,fr FRA,MF,Sporting KC,27,1995,30.4,1646,58,294,1025,356,21,1646,30,16,53.3,8,26.7,1000,4284,1886,32,37,5,25,22,1112,50,Matches
821,Victor Wanyama,ke KEN,MF,CF Montréal,31,1991,19.9,1008,36,218,681,122,6,1008,32,15,46.9,12,37.5,552,2799,1228,11,18,1,14,15,641,16,Matches
822,Taylor Washington,us USA,"DF,MF",Nashville,29,1993,5.4,314,19,106,130,81,7,314,2,0,0.0,1,50.0,164,749,396,11,6,1,5,2,185,18,Matches
823,Joel Waterman,ca CAN,DF,CF Montréal,27,1996,26.4,1969,207,963,916,104,10,1969,10,9,90.0,1,10.0,1183,5830,3104,18,15,0,14,5,1277,13,Matches
824,Akil Watts,us USA,"DF,MF",St. Louis,22,2000,9.8,501,26,133,236,142,6,501,7,4,57.1,2,28.6,211,1114,573,17,20,1,11,9,237,27,Matches
825,Quentin Westberg,us USA,GK,Atlanta Utd,36,1986,5.5,213,176,213,0,0,0,213,1,0,0.0,1,100.0,139,587,337,0,0,0,1,0,127,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
826,Ashley Westwood,eng ENG,MF,Charlotte,32,1990,28.1,1793,58,358,986,458,27,1793,16,8,50.0,5,31.3,944,3662,1606,19,27,3,27,16,1294,67,Matches
827,Brian White,us USA,FW,Vancouver,26,1996,28.2,880,29,46,391,444,180,880,30,12,40.0,17,56.7,464,1646,578,21,15,13,76,21,662,178,Matches
828,Caleb Wiley,us USA,"DF,FW",Atlanta Utd,18,2004,25.9,1465,55,446,650,386,60,1465,36,15,41.7,18,50.0,841,4635,2475,61,36,17,42,19,961,146,Matches
829,Derrick Williams,ie IRL,DF,D.C. United,30,1993,20.5,1257,161,693,491,85,26,1257,5,4,80.0,1,20.0,720,3374,2190,7,10,0,11,1,820,5,Matches
830,Eryk Williamson,us USA,MF,Portland Timbers,25,1997,5.9,296,6,57,156,85,9,296,25,12,48.0,10,40.0,136,731,419,12,7,4,12,9,163,17,Matches
831,Joe Willis,us USA,GK,Nashville,34,1988,32.0,1007,882,994,13,0,0,1007,1,1,100.0,0,0.0,511,2819,1736,0,0,0,2,0,390,0,Matches
832,Danny Wilson,sct SCO,DF,Colorado Rapids,31,1991,25.7,1509,219,845,629,45,23,1509,3,3,100.0,0,0.0,847,3938,2258,5,7,1,6,1,1011,0,Matches
833,Owen Wolff,us USA,MF,Austin,18,2004,20.9,917,43,217,488,224,23,917,48,26,54.2,17,35.4,530,2851,1430,31,21,5,28,13,610,51,Matches
834,Tyler Wolff,us USA,"FW,MF",Atlanta Utd,19,2003,7.2,283,3,47,132,109,29,283,20,9,45.0,9,45.0,175,794,391,14,4,6,19,7,184,43,Matches
835,Bobby Wood,us USA,FW,New England,30,1992,16.5,460,16,32,218,213,56,460,29,11,37.9,16,55.2,248,957,304,10,9,8,47,25,361,87,Matches
836,Karifa Yao,ca CAN,MF,Vancouver,22,2000,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
837,Darren Yapi,us USA,"FW,MF",Colorado Rapids,18,2004,9.9,303,12,30,145,134,35,303,45,18,40.0,22,48.9,167,905,283,11,7,9,37,17,211,46,Matches
838,William Yarbrough,us USA,GK,Colorado Rapids,33,1989,20.0,710,624,707,4,0,0,710,3,2,66.7,0,0.0,353,1962,1129,0,0,0,0,0,277,0,Matches
839,Joshua Yaro,gh GHA,DF,St. Louis,28,1994,10.1,541,71,295,227,20,0,541,1,1,100.0,0,0.0,264,1272,702,3,3,1,2,2,275,1,Matches
840,Dru Yearwood,eng ENG,MF,NY Red Bulls,22,2000,9.2,417,9,58,207,157,20,417,28,13,46.4,15,53.6,228,1316,538,16,9,2,20,8,254,29,Matches
841,Yaw Yeboah,gh GHA,"DF,MF",Columbus Crew,25,1997,22.0,1273,16,151,496,634,84,1273,76,29,38.2,32,42.1,845,4218,2306,70,37,27,37,18,888,241,Matches
842,DeAndre Yedlin,us USA,DF,Inter Miami,29,1993,25.8,1602,89,462,714,437,26,1602,26,12,46.2,10,38.5,787,3035,1643,37,31,4,28,4,959,127,Matches
843,Maya Yoshida,jp JPN,DF,LA Galaxy,34,1988,12.0,859,140,505,336,21,13,859,2,1,50.0,1,50.0,492,1926,830,0,1,0,4,1,609,1,Matches
844,Jackson Yueill,us USA,MF,San Jose,25,1997,30.2,2079,65,446,1269,387,24,2079,54,34,63.0,15,27.8,1350,6576,3425,32,37,1,37,24,1590,49,Matches
845,Gyasi Zardes,us USA,FW,Austin,31,1991,16.3,411,18,55,187,173,61,411,29,13,44.8,14,48.3,230,1034,363,15,7,7,33,20,301,62,Matches
846,Eriq Zavaleta,sv SLV,DF,LA Galaxy,30,1992,5.4,321,36,204,108,9,6,321,1,1,100.0,0,0.0,191,760,309,1,0,0,1,0,236,0,Matches
