Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
501,Andreas Maxsø,dk DEN,DF,Colorado Rapids,28,1994,32.5,1266,1426,88.8,24199,7445,385,416,92.5,768,816,94.1,104,170,61.2,0,0.8,0.9,-0.8,5,33,0,0,40,Matches
502,Olivier Mbaizo,cm CMR,DF,Philadelphia,25,1997,20.4,694,927,74.9,11287,4561,349,402,86.8,283,366,77.3,46,97,47.4,1,0.8,1.0,+0.2,13,52,16,6,76,Matches
503,Hugo-Hilaire Mbongue Mbongue,ca CAN,"FW,MF",Toronto FC,18,2004,2.9,40,62,64.5,549,75,26,37,70.3,10,13,76.9,2,4,50.0,0,0.5,0.8,-0.5,5,1,1,0,3,Matches
504,John McCarthy,us USA,GK,Los Angeles FC,30,1992,25.0,460,668,68.9,12732,9523,73,74,98.6,230,236,97.5,154,354,43.5,0,0.0,0.0,0.0,1,7,0,0,0,Matches
505,Dax McCarty,us USA,MF,Nashville,35,1987,21.0,908,1074,84.5,16972,5479,392,439,89.3,375,418,89.7,121,162,74.7,1,1.2,1.2,-0.2,23,99,13,2,121,Matches
506,Jack McGlynn,us USA,MF,Philadelphia,19,2003,18.0,949,1133,83.8,17422,6049,448,492,91.1,346,396,87.4,137,196,69.9,1,1.9,2.2,-0.9,22,157,27,4,155,Matches
507,Zac McGraw,ca CAN,DF,Portland Timbers,25,1997,26.9,835,1045,79.9,17939,6296,231,274,84.3,457,517,88.4,138,229,60.3,1,0.5,1.0,+0.5,5,49,2,0,43,Matches
508,Duncan McGuire,us USA,FW,Orlando City,21,2001,15.4,162,234,69.2,2279,293,95,133,71.4,51,66,77.3,8,10,80.0,3,2.9,2.2,+0.1,15,6,5,1,13,Matches
509,Kendall McIntosh,us USA,GK,Sporting KC,29,1994,13.2,297,399,74.4,7073,4568,61,63,96.8,166,171,97.1,70,165,42.4,0,0.0,0.0,0.0,0,2,0,0,0,Matches
510,Thomas McNamara,us USA,"MF,FW",New England,31,1991,2.1,88,103,85.4,1424,486,39,43,90.7,42,47,89.4,5,8,62.5,0,0.1,0.1,-0.1,3,11,1,0,9,Matches
511,Christopher McVey,se SWE,DF,Inter Miami,25,1997,13.5,719,816,88.1,14169,5147,236,256,92.2,391,419,93.3,87,124,70.2,0,0.3,0.2,-0.3,7,38,1,0,40,Matches
512,Jimmy Medranda,co COL,"MF,DF",Columbus Crew,28,1994,1.2,89,110,80.9,1369,420,47,52,90.4,38,49,77.6,4,9,44.4,0,0.2,0.3,-0.2,3,8,4,2,15,Matches
513,Tim Melia,us USA,GK,Sporting KC,36,1986,15.8,335,488,68.6,9405,6290,49,51,96.1,175,176,99.4,110,257,42.8,0,0.0,0.0,0.0,0,10,1,0,0,Matches
514,Vinicius Mello,br BRA,FW,Charlotte,20,2002,0.6,20,24,83.3,369,70,8,9,88.9,9,10,90.0,2,3,66.7,0,0.0,0.0,0.0,0,2,1,0,4,Matches
515,Jonathan Mensah,gh GHA,DF,San Jose,32,1990,21.7,911,1040,87.6,16977,6562,346,375,92.3,462,516,89.5,97,135,71.9,0,0.6,1.1,-0.6,5,43,1,0,41,Matches
516,Justin Meram,iq IRQ,"FW,MF",Charlotte,34,1988,14.8,516,662,77.9,8703,2409,278,311,89.4,174,215,80.9,52,94,55.3,4,2.8,2.8,+1.2,24,39,29,10,68,Matches
517,Justin Meram,iq IRQ,"FW,MF",Real Salt Lake,34,1988,2.0,61,86,70.9,1107,301,29,37,78.4,21,24,87.5,9,16,56.3,1,0.3,0.3,+0.7,2,8,2,1,13,Matches
518,Lionel Messi,ar ARG,"FW,MF",Inter Miami,35,1987,4.1,161,216,74.5,2461,831,95,104,91.3,54,69,78.3,8,24,33.3,2,1.4,1.4,+0.6,6,19,8,0,36,Matches
519,Matt Miazga,us USA,DF,FC Cincinnati,27,1995,26.5,1124,1303,86.3,24813,10238,239,270,88.5,689,752,91.6,189,255,74.1,1,0.6,0.9,+0.4,7,44,3,0,59,Matches
520,Micael,br BRA,DF,Dynamo FC,22,2000,21.9,1012,1173,86.3,19736,7886,345,374,92.2,537,588,91.3,115,183,62.8,0,0.0,0.3,0.0,1,51,2,0,44,Matches
521,Novak Mićović,rs SRB,GK,LA Galaxy,21,2001,2.0,49,56,87.5,1054,641,12,12,100.0,26,26,100.0,10,17,58.8,0,0.0,0.0,0.0,0,0,0,0,0,Matches
522,Matko Miljevic,us USA,"MF,FW",CF Montréal,21,2001,1.5,52,81,64.2,1007,293,24,31,77.4,18,22,81.8,10,22,45.5,1,0.2,0.5,+0.8,1,3,1,1,9,Matches
523,Eric Miller,us USA,DF,Portland Timbers,30,1993,13.4,364,487,74.7,6886,2708,138,165,83.6,186,228,81.6,37,73,50.7,0,0.2,0.4,-0.2,3,18,4,3,26,Matches
524,Kamal Miller,ca CAN,DF,Inter Miami,25,1997,20.5,1174,1326,88.5,24055,9490,353,382,92.4,661,709,93.2,154,214,72.0,0,0.5,0.5,-0.5,8,97,4,1,79,Matches
525,Kamal Miller,ca CAN,DF,CF Montréal,25,1997,5.3,260,311,83.6,5233,2457,99,108,91.7,122,135,90.4,39,59,66.1,0,0.0,0.1,0.0,0,33,1,0,27,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
